Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,inf,1075.0,,240.714641703165,0,,,,,,,,
1,Standard,,55.5556000000047,5.2,K5,14.6,0,,,,,,,,
2,Standard,,-43.4782999999974,0.8,K5,14.6,0,,,,,,,,
3,Standard,,500.0,16.0,LF5,14.6,0,,,,,,,,
4,Standard,,inf,17.0,LF5,13.0,0,,,,,,,,
5,Standard,,105.263199999995,1.5,LF5,12.0,0,,,,,,,,
6,Standard,,39.2157000000048,3.3,LF5,12.0,0,,,,,,,,
7,Standard,,50.0,3.6,K5,11.3,0,,,,,,,,
8,Standard,,-166.666700000007,79.5,K5,11.3,0,,,,,,,,
9,Standard,,inf,0.0,K5,24.0082817289067,0,,,,,,,,
10,Standard,,inf,inf,K5,24.0082817289067,0,,,,,,,,
